Sample,OTU,Count,Model_Jul04,OTU_CODE
00030JDE,Drunella_spinifera,2,N,B70
00030JDE,Hesperoperla,1,N,B103
00030JDE,Heterlimnius,6,N,B104
00030JDE,Hydroptila,2,N,B115
00030JDE,Leptophlebiidae,2,N,B127
00030JDE,Micrasema,43,N,B140
00030JDE,Nematoda,5,N,B146
00030JDE,Onocosmoecus,1,N,B158
00030JDE,Optioservus,4,N,B159
00030JDE,Orthocladiinae,310,N,B162
00030JDE,Parapsyche,1,N,B166
00030JDE,Rhyacophila,2,N,B199
00030JDE,Serratella,5,N,B200
00030JDE,Simulium,5,N,B204
00030JDE,Sphaeriidae,1,N,B209
00030JDE,Sweltsa,1,N,B214
00030JDE,Tanypodinae,9,N,B217
00030JDE,Trombidiformes,1,N,B223
00030JDE,Yoraperla,13,N,B230
00030JDE,Zapada,2,N,B232
00030REM,Ameletus,1,C,B6
00030REM,Apatania,2,C,B14
00030REM,Arctopsyche,10,C,B15
00030REM,Baetis,42,C,B21
00030REM,Calineuria,10,C,B27
00030REM,Chironominae,135,C,B37
00030REM,Cinygmula,2,C,B40
00030REM,Despaxia,1,C,B54
00030REM,Dicranota,17,C,B58
00030REM,Diphetor_hageni,1,C,B59
00030REM,Doroneuria,1,C,B65
00030REM,Drunella_coloradensis/flavilinea,1,C,B66
00030REM,Drunella_doddsi,11,C,B67
00030REM,Epeorus,2,C,B77
00030REM,Glossosoma,36,C,B89
00030REM,Hexatoma,1,C,B106
00030REM,Hydropsyche,1,C,B114
00030REM,Ironodes,2,C,B116
00030REM,Lepidostoma,2,C,B125
00030REM,Leptophlebiidae,1,C,B127
00030REM,Micrasema,1,C,B140
00030REM,Nematoda,1,C,B146
00030REM,Oligochaeta,28,C,B156
00030REM,Optioservus,2,C,B159
00030REM,Orthocladiinae,67,C,B162
00030REM,Parapsyche,1,C,B166
00030REM,Pteronarcys,1,C,B193
00030REM,Rhithrogena,102,C,B197
00030REM,Rhyacophila,22,C,B199
00030REM,Serratella,3,C,B200
00030REM,Simulium,6,C,B204
00030REM,Sweltsa,2,C,B214
00030REM,Tanypodinae,3,C,B217
00030REM,Trombidiformes,4,C,B223
00030REM,Yoraperla,1,C,B230
00030REM,Zapada,19,C,B232
00031CSR,Ameletus,2,C,B6
00031CSR,Ampumixis,9,C,B10
00031CSR,Baetis,18,C,B21
00031CSR,Chironominae,20,C,B37
00031CSR,Cinygma,54,C,B39
00031CSR,Cinygmula,3,C,B40
00031CSR,Cryptolabis,1,C,B50
00031CSR,Despaxia,4,C,B54
00031CSR,Dicranota,2,C,B58
00031CSR,Diphetor_hageni,4,C,B59
00031CSR,Diura,12,C,B60
00031CSR,Doroneuria,3,C,B65
00031CSR,Drunella_coloradensis/flavilinea,3,C,B66
00031CSR,Ecclisocosmoecus,4,C,B73
00031CSR,Epeorus,2,C,B77
00031CSR,Ephemerella,54,C,B78
00031CSR,Glossosoma,1,C,B89
00031CSR,Ironodes,15,C,B116
00031CSR,Lepidostoma,1,C,B125
00031CSR,Leptophlebiidae,20,C,B127
00031CSR,Malenka,2,C,B134
00031CSR,Micrasema,1,C,B140
00031CSR,Moselia,11,C,B143
00031CSR,Nematoda,1,C,B146
00031CSR,Neophylax,1,C,B149
00031CSR,Oligochaeta,2,C,B156
00031CSR,Orthocladiinae,18,C,B162
00031CSR,Parapsyche,2,C,B166
00031CSR,Ptychopteridae,1,C,B194
00031CSR,Rhyacophila,30,C,B199
00031CSR,Soliperla,1,C,B206
00031CSR,Sphaeriidae,14,C,B209
00031CSR,Sweltsa,14,C,B214
00031CSR,Trombidiformes,10,C,B223
00031CSR,Turbellaria,7,C,B225
00031CSR,Visoka,1,C,B227
00031CSR,Wormaldia,3,C,B229
00031CSR,Yoraperla,141,C,B230
00031CSR,Zapada,1,C,B232
00031GRD,Acentrella,3,NT,B1
00031GRD,Calineuria,9,NT,B27
00031GRD,Ceratopogoninae,1,NT,B33
00031GRD,Cheumatopsyche,1,NT,B35
00031GRD,Chironominae,31,NT,B37
00031GRD,Coenagrionidae,4,NT,B44
00031GRD,Dicosmoecus,1,NT,B57
00031GRD,Epeorus,5,NT,B77
00031GRD,Ephemerella,4,NT,B78
00031GRD,Glossosoma,1,NT,B89
00031GRD,Gomphidae,33,NT,B92
00031GRD,Helicopsychidae,79,NT,B98
00031GRD,Hexatoma,4,NT,B106
00031GRD,Hydropsyche,1,NT,B114
00031GRD,Lepidostoma,49,NT,B125
00031GRD,Leptophlebiidae,32,NT,B127
00031GRD,Nematoda,1,NT,B146
00031GRD,Ochrotrichia,4,NT,B153
00031GRD,Oligochaeta,10,NT,B156
00031GRD,Optioservus,26,NT,B159
00031GRD,Orthocladiinae,3,NT,B162
00031GRD,Physidae,1,NT,B172
00031GRD,Planorbidae,3,NT,B174
00031GRD,Prostoia,1,NT,B184
00031GRD,Psephenus,93,NT,B187
00031GRD,Rhithrogena,115,NT,B197
00031GRD,Simulium,22,NT,B204
00031GRD,Skwala,2,NT,B205
00031GRD,Sweltsa,3,NT,B214
00031GRD,Tanypodinae,2,NT,B217
00031GRD,Tricorythodes,35,NT,B222
00031GRD,Zaitzevia,18,NT,B231
00031GRD,Zapada,3,NT,B232
00031REM,Ameletus,2,C,B6
00031REM,Baetis,48,C,B21
00031REM,Capniidae,23,C,B30
00031REM,Caudatella,6,C,B31
00031REM,Chironominae,38,C,B37
00031REM,Cinygmula,7,C,B40
00031REM,Dicranota,1,C,B58
00031REM,Doroneuria,1,C,B65
00031REM,Drunella_coloradensis/flavilinea,2,C,B66
00031REM,Drunella_doddsi,92,C,B67
00031REM,Drunella_spinifera,4,C,B70
00031REM,Epeorus,25,C,B77
00031REM,Glossosoma,18,C,B89
00031REM,Megarcys,6,C,B137
00031REM,Neophylax,1,C,B149
00031REM,Oligochaeta,11,C,B156
00031REM,Oreogeton,2,C,B161
00031REM,Orthocladiinae,62,C,B162
00031REM,Prosimulium,2,C,B183
00031REM,Rhithrogena,121,C,B197
00031REM,Rhyacophila,33,C,B199
00031REM,Serratella,7,C,B200
00031REM,Simulium,1,C,B204
00031REM,Skwala,2,C,B205
00031REM,Sweltsa,4,C,B214
00031REM,Visoka,4,C,B227
00031REM,Zapada,6,C,B232
00032JDE,Amiocentrus,6,N,B8
00032JDE,Anagapetus,2,N,B12
00032JDE,Baetis,39,N,B21
00032JDE,Capniidae,1,N,B30
00032JDE,Caudatella,19,N,B31
00032JDE,Chironominae,14,N,B37
00032JDE,Cinygma,1,N,B39
00032JDE,Cinygmula,41,N,B40
00032JDE,Cleptelmis,2,N,B42
00032JDE,Diamesinae,3,N,B56
00032JDE,Dicosmoecus,1,N,B57
00032JDE,Dicranota,3,N,B58
00032JDE,Dolophilodes,6,N,B64
00032JDE,Doroneuria,1,N,B65
00032JDE,Drunella_doddsi,9,N,B67
00032JDE,Drunella_spinifera,2,N,B70
00032JDE,Ephemerella,2,N,B78
00032JDE,Glossosoma,8,N,B89
00032JDE,Hesperoperla,2,N,B103
00032JDE,Heterlimnius,49,N,B104
00032JDE,Hexatoma,2,N,B106
00032JDE,Hydropsyche,5,N,B114
00032JDE,Ironodes,3,N,B116
00032JDE,Lara,1,N,B124
00032JDE,Lepidostoma,1,N,B125
00032JDE,Leptophlebiidae,11,N,B127
00032JDE,Micrasema,14,N,B140
00032JDE,Narpus,3,N,B145
00032JDE,Nematoda,3,N,B146
00032JDE,Oligochaeta,12,N,B156
00032JDE,Optioservus,1,N,B159
00032JDE,Orthocladiinae,50,N,B162
00032JDE,Parapsyche,2,N,B166
00032JDE,Prodiamesinae,2,N,B182
00032JDE,Ptychopteridae,1,N,B194
00032JDE,Rhithrogena,6,N,B197
00032JDE,Rhyacophila,7,N,B199
00032JDE,Serratella,2,N,B200
00032JDE,Simulium,50,N,B204
00032JDE,Skwala,4,N,B205
00032JDE,Sphaeriidae,14,N,B209
00032JDE,Sweltsa,58,N,B214
00032JDE,Taeniopterygidae,3,N,B216
00032JDE,Tanypodinae,2,N,B217
00032JDE,Trombidiformes,4,N,B223
00032JDE,Visoka,2,N,B227
00032JDE,Wormaldia,2,N,B229
00032JDE,Yoraperla,17,N,B230
00032JDE,Zapada,3,N,B232
00032REM,Agapetus,4,N,B3
00032REM,Ameletus,3,N,B6
00032REM,Baetis,69,N,B21
00032REM,Calineuria,11,N,B27
00032REM,Chironominae,50,N,B37
00032REM,Diamesinae,1,N,B56
00032REM,Dicranota,17,N,B58
00032REM,Diphetor_hageni,1,N,B59
00032REM,Dixa,1,N,B61
00032REM,Drunella_doddsi,19,N,B67
00032REM,Drunella_spinifera,1,N,B70
00032REM,Epeorus,4,N,B77
00032REM,Glossosoma,260,N,B89
00032REM,Hexatoma,6,N,B106
00032REM,Hydropsyche,4,N,B114
00032REM,Micrasema,3,N,B140
00032REM,Neophylax,30,N,B149
00032REM,Oligochaeta,5,N,B156
00032REM,Oligophlebodes,4,N,B157
00032REM,Orthocladiinae,31,N,B162
00032REM,Rhithrogena,5,N,B197
00032REM,Rhyacophila,17,N,B199
00032REM,Serratella,3,N,B200
00032REM,Skwala,22,N,B205
00032REM,Sweltsa,10,N,B214
00032REM,Trombidiformes,19,N,B223
00032REM,Yoraperla,1,N,B230
00032REM,Zapada,7,N,B232
00033CSR,Ameletus,1,N,B6
00033CSR,Berosus,1,N,B22
00033CSR,Calineuria,2,N,B27
00033CSR,Chironominae,9,N,B37
00033CSR,Cinygma,42,N,B39
00033CSR,Cleptelmis,2,N,B42
00033CSR,Dicranota,4,N,B58
00033CSR,Diphetor_hageni,9,N,B59
00033CSR,Dixa,12,N,B61
00033CSR,Forcipomyiinae,8,N,B87
00033CSR,Hydraenidae,6,N,B111
00033CSR,Ironodes,7,N,B116
00033CSR,Isoperla,22,N,B118
00033CSR,Lepidostoma,28,N,B125
00033CSR,Leptophlebiidae,19,N,B127
00033CSR,Malenka,59,N,B134
00033CSR,Micrasema,15,N,B140
00033CSR,Orthocladiinae,48,N,B162
00033CSR,Parapsyche,15,N,B166
00033CSR,Podonominae,6,N,B177
00033CSR,Pteronarcella,13,N,B192
00033CSR,Rhyacophila,7,N,B199
00033CSR,Sphaeriidae,1,N,B209
00033CSR,Sweltsa,33,N,B214
00033CSR,Trombidiformes,5,N,B223
00033CSR,Turbellaria,5,N,B225
00033CSR,Yoraperla,1,N,B230
00033CSR,Zapada,60,N,B232
00033GRD,Ameletus,1,NT,B6
00033GRD,Calineuria,8,NT,B27
00033GRD,Centroptilum,2,NT,B32
00033GRD,Ceratopogoninae,1,NT,B33
00033GRD,Cheumatopsyche,16,NT,B35
00033GRD,Chironominae,221,NT,B37
00033GRD,Clinocera,4,NT,B43
00033GRD,Dicosmoecus,1,NT,B57
00033GRD,Diphetor_hageni,4,NT,B59
00033GRD,Dixa,1,NT,B61
00033GRD,Dytiscidae,2,NT,B72
00033GRD,Epeorus,6,NT,B77
00033GRD,Ephemerella,12,NT,B78
00033GRD,Hydropsyche,17,NT,B114
00033GRD,Hydroptila,11,NT,B115
00033GRD,Lepidostoma,98,NT,B125
00033GRD,Leptophlebiidae,4,NT,B127
00033GRD,Limnophila,4,NT,B131
00033GRD,Maruina,2,NT,B136
00033GRD,Micrasema,1,NT,B140
00033GRD,Oligochaeta,13,NT,B156
00033GRD,Optioservus,24,NT,B159
00033GRD,Ordobrevia,15,NT,B160
00033GRD,Orthocladiinae,111,NT,B162
00033GRD,Physidae,17,NT,B172
00033GRD,Pteronarcys,1,NT,B193
00033GRD,Rhithrogena,14,NT,B197
00033GRD,Skwala,2,NT,B205
00033GRD,Sweltsa,13,NT,B214
00033GRD,Tanypodinae,12,NT,B217
00033GRD,Tipula,3,NT,B220
00033GRD,Tricorythodes,2,NT,B222
00033GRD,Trombidiformes,3,NT,B223
00033GRD,Zaitzevia,40,NT,B231
00033GRD,Zapada,52,NT,B232
00033REM,Antocha,3,N,B13
00033REM,Arctopsyche,10,N,B15
00033REM,Baetis,225,N,B21
00033REM,Brachycentrus,13,N,B24
00033REM,Calineuria,4,N,B27
00033REM,Caudatella,3,N,B31
00033REM,Chironominae,47,N,B37
00033REM,Cinygmula,1,N,B40
00033REM,Clinocera,3,N,B43
00033REM,Diamesinae,6,N,B56
00033REM,Dicranota,1,N,B58
00033REM,Dixa,1,N,B61
00033REM,Doroneuria,2,N,B65
00033REM,Drunella_coloradensis/flavilinea,1,N,B66
00033REM,Drunella_doddsi,75,N,B67
00033REM,Epeorus,91,N,B77
00033REM,Ephemerella,4,N,B78
00033REM,Glossosoma,35,N,B89
00033REM,Heterlimnius,4,N,B104
00033REM,Leptophlebiidae,6,N,B127
00033REM,Malenka,3,N,B134
00033REM,Maruina,1,N,B136
00033REM,Megarcys,2,N,B137
00033REM,Micrasema,6,N,B140
00033REM,Neophylax,19,N,B149
00033REM,Oligophlebodes,13,N,B157
00033REM,Orthocladiinae,48,N,B162
00033REM,Rhithrogena,34,N,B197
00033REM,Rhyacophila,49,N,B199
00033REM,Serratella,6,N,B200
00033REM,Simulium,18,N,B204
00033REM,Skwala,8,N,B205
00033REM,Soliperla,1,N,B206
00033REM,Sweltsa,9,N,B214
00033REM,Trombidiformes,3,N,B223
00033REM,Yoraperla,3,N,B230
00033REM,Zapada,10,N,B232
00034CSR,Baetis,39,N,B21
00034CSR,Calineuria,2,N,B27
00034CSR,Chironominae,51,N,B37
00034CSR,Cinygma,1,N,B39
00034CSR,Cinygmula,3,N,B40
00034CSR,Dicranota,2,N,B58
00034CSR,Diphetor_hageni,5,N,B59
00034CSR,Dixa,1,N,B61
00034CSR,Doroneuria,3,N,B65
00034CSR,Drunella_doddsi,5,N,B67
00034CSR,Epeorus,1,N,B77
00034CSR,Glossosoma,93,N,B89
00034CSR,Heterlimnius,3,N,B104
00034CSR,Hexatoma,1,N,B106
00034CSR,Ironodes,2,N,B116
00034CSR,Lepidostoma,2,N,B125
00034CSR,Leptophlebiidae,11,N,B127
00034CSR,Malenka,71,N,B134
00034CSR,Narpus,1,N,B145
00034CSR,Oligochaeta,2,N,B156
00034CSR,Orthocladiinae,39,N,B162
00034CSR,Parapsyche,4,N,B166
00034CSR,Pteronarcys,5,N,B193
00034CSR,Rhithrogena,41,N,B197
00034CSR,Rhyacophila,58,N,B199
00034CSR,Sweltsa,15,N,B214
00034CSR,Trombidiformes,4,N,B223
00034CSR,Turbellaria,3,N,B225
00034CSR,Yoraperla,7,N,B230
00034CSR,Zapada,13,N,B232
00034GRD,Acentrella,1,NT,B1
00034GRD,Ameletus,1,NT,B6
00034GRD,Antocha,5,NT,B13
00034GRD,Brachycentrus,3,NT,B24
00034GRD,Calineuria,3,NT,B27
00034GRD,Ceratopogoninae,1,NT,B33
00034GRD,Chironominae,54,NT,B37
00034GRD,Diamesinae,12,NT,B56
00034GRD,Epeorus,26,NT,B77
00034GRD,Ephemerella,46,NT,B78
00034GRD,Gomphidae,3,NT,B92
00034GRD,Haliplidae,1,NT,B96
00034GRD,Helicopsychidae,5,NT,B98
00034GRD,Hydropsyche,58,NT,B114
00034GRD,Hydroptila,3,NT,B115
00034GRD,Lepidostoma,114,NT,B125
00034GRD,Leptoceridae,4,NT,B126
00034GRD,Leptophlebiidae,17,NT,B127
00034GRD,Limnophila,3,NT,B131
00034GRD,Oligochaeta,4,NT,B156
00034GRD,Optioservus,28,NT,B159
00034GRD,Ordobrevia,9,NT,B160
00034GRD,Orthocladiinae,23,NT,B162
00034GRD,Physidae,1,NT,B172
00034GRD,Psephenus,39,NT,B187
00034GRD,Pyralidae,2,NT,B195
00034GRD,Rhithrogena,86,NT,B197
00034GRD,Skwala,8,NT,B205
00034GRD,Tanypodinae,4,NT,B217
00034GRD,Tricorythodes,24,NT,B222
00034GRD,Trombidiformes,8,NT,B223
00034GRD,Zaitzevia,48,NT,B231
00034GRD,Zapada,3,NT,B232
00035CSR,Acentrella,8,N,B1
00035CSR,Antocha,9,N,B13
00035CSR,Baetis,14,N,B21
00035CSR,Calineuria,13,N,B27
00035CSR,Ceratopogoninae,10,N,B33
00035CSR,Chelifera,3,N,B34
00035CSR,Chironominae,339,N,B37
00035CSR,Dicosmoecus,2,N,B57
00035CSR,Dicranota,3,N,B58
00035CSR,Diphetor_hageni,4,N,B59
00035CSR,Epeorus,11,N,B77
00035CSR,Fluminicola,12,N,B86
00035CSR,Glossosoma,29,N,B89
00035CSR,Hexatoma,2,N,B106
00035CSR,Hydropsyche,27,N,B114
00035CSR,Juga,4,N,B119
00035CSR,Nematoda,1,N,B146
00035CSR,Oligochaeta,28,N,B156
00035CSR,Optioservus,23,N,B159
00035CSR,Orthocladiinae,63,N,B162
00035CSR,Rhithrogena,11,N,B197
00035CSR,Rhyacophila,9,N,B199
00035CSR,Simulium,2,N,B204
00035CSR,Trombidiformes,13,N,B223
00035CSR,Wormaldia,1,N,B229
00035CSR,Zaitzevia,13,N,B231
00035REM,Baetis,13,N_lc,B21
00035REM,Chironominae,2,N_lc,B37
00035REM,Diamesinae,4,N_lc,B56
00035REM,Drunella_doddsi,1,N_lc,B67
00035REM,Epeorus,10,N_lc,B77
00035REM,Megarcys,4,N_lc,B137
00035REM,Neothremma,1,N_lc,B150
00035REM,Oligophlebodes,1,N_lc,B157
00035REM,Orthocladiinae,4,N_lc,B162
00035REM,Rhithrogena,4,N_lc,B197
00035REM,Rhyacophila,8,N_lc,B199
00035REM,Zapada,2,N_lc,B232
00036CSR,Antocha,1,N,B13
00036CSR,Baetis,28,N,B21
00036CSR,Calineuria,19,N,B27
00036CSR,Ceratopogoninae,6,N,B33
00036CSR,Chelifera,2,N,B34
00036CSR,Chironominae,113,N,B37
00036CSR,Cinygmula,7,N,B40
00036CSR,Despaxia,1,N,B54
00036CSR,Dicranota,10,N,B58
00036CSR,Diphetor_hageni,3,N,B59
00036CSR,Dixa,2,N,B61
00036CSR,Doroneuria,1,N,B65
00036CSR,Epeorus,17,N,B77
00036CSR,Forcipomyiinae,4,N,B87
00036CSR,Glossosoma,39,N,B89
00036CSR,Hesperoperla,12,N,B103
00036CSR,Heterlimnius,4,N,B104
00036CSR,Hexatoma,4,N,B106
00036CSR,Juga,1,N,B119
00036CSR,Lara,2,N,B124
00036CSR,Leptophlebiidae,5,N,B127
00036CSR,Limnophila,2,N,B131
00036CSR,Malenka,49,N,B134
00036CSR,Micrasema,6,N,B140
00036CSR,Nematoda,3,N,B146
00036CSR,Neophylax,2,N,B149
00036CSR,Oligochaeta,4,N,B156
00036CSR,Optioservus,20,N,B159
00036CSR,Orthocladiinae,196,N,B162
00036CSR,Paraperla,1,N,B165
00036CSR,Rhithrogena,3,N,B197
00036CSR,Rhyacophila,37,N,B199
00036CSR,Serratella,2,N,B200
00036CSR,Simulium,4,N,B204
00036CSR,Sweltsa,12,N,B214
00036CSR,Tanypodinae,1,N,B217
00036CSR,Wormaldia,38,N,B229
00036CSR,Yoraperla,3,N,B230
00036CSR,Zaitzevia,2,N,B231
00036CSR,Zapada,16,N,B232
00036GRD,Acentrella,1,NT,B1
00036GRD,Ameletus,1,NT,B6
00036GRD,Antocha,3,NT,B13
00036GRD,Atherix,1,NT,B18
00036GRD,Brachycentrus,1,NT,B24
00036GRD,Calineuria,12,NT,B27
00036GRD,Ceratopogoninae,4,NT,B33
00036GRD,Chironominae,88,NT,B37
00036GRD,Cinygmula,13,NT,B40
00036GRD,Drunella_doddsi,1,NT,B67
00036GRD,Epeorus,2,NT,B77
00036GRD,Ephemerella,6,NT,B78
00036GRD,Gomphidae,1,NT,B92
00036GRD,Helicopsychidae,11,NT,B98
00036GRD,Hemerodromia,1,NT,B100
00036GRD,Hexatoma,3,NT,B106
00036GRD,Hydropsyche,15,NT,B114
00036GRD,Lepidostoma,27,NT,B125
00036GRD,Leptophlebiidae,4,NT,B127
00036GRD,Limnophila,1,NT,B131
00036GRD,Oligochaeta,1,NT,B156
00036GRD,Optioservus,40,NT,B159
00036GRD,Ordobrevia,5,NT,B160
00036GRD,Orthocladiinae,23,NT,B162
00036GRD,Physidae,3,NT,B172
00036GRD,Planorbidae,11,NT,B174
00036GRD,Psephenus,105,NT,B187
00036GRD,Simulium,3,NT,B204
00036GRD,Skwala,2,NT,B205
00036GRD,Tricorythodes,13,NT,B222
00036GRD,Trombidiformes,4,NT,B223
00036GRD,Zaitzevia,73,NT,B231
00036GRD,Zapada,2,NT,B232
00036REM,Ameletus,1,C,B6
00036REM,Arctopsyche,2,C,B15
00036REM,Baetis,77,C,B21
00036REM,Brachycentrus,1,C,B24
00036REM,Calineuria,2,C,B27
00036REM,Caudatella,31,C,B31
00036REM,Ceratopogoninae,1,C,B33
00036REM,Chelifera,1,C,B34
00036REM,Chironominae,28,C,B37
00036REM,Despaxia,1,C,B54
00036REM,Dicranota,2,C,B58
00036REM,Doroneuria,4,C,B65
00036REM,Drunella_doddsi,29,C,B67
00036REM,Ecclisomyia,1,C,B74
00036REM,Epeorus,62,C,B77
00036REM,Ephemerella,1,C,B78
00036REM,Fluminicola,2,C,B86
00036REM,Glossosoma,19,C,B89
00036REM,Heterlimnius,13,C,B104
00036REM,Hexatoma,1,C,B106
00036REM,Hydraenidae,1,C,B111
00036REM,Ironodes,1,C,B116
00036REM,Kathroperla,1,C,B120
00036REM,Lara,1,C,B124
00036REM,Leptophlebiidae,4,C,B127
00036REM,Megarcys,2,C,B137
00036REM,Micrasema,1,C,B140
00036REM,Nematoda,1,C,B146
00036REM,Neophylax,21,C,B149
00036REM,Oligochaeta,10,C,B156
00036REM,Oligophlebodes,4,C,B157
00036REM,Orthocladiinae,12,C,B162
00036REM,Parapsyche,4,C,B166
00036REM,Pteronarcys,4,C,B193
00036REM,Rhithrogena,66,C,B197
00036REM,Rhyacophila,30,C,B199
00036REM,Serratella,2,C,B200
00036REM,Sialis,1,C,B202
00036REM,Simulium,8,C,B204
00036REM,Soliperla,1,C,B206
00036REM,Sweltsa,27,C,B214
00036REM,Trombidiformes,11,C,B223
00036REM,Turbellaria,1,C,B225
00036REM,Visoka,6,C,B227
00036REM,Yoraperla,31,C,B230
00036REM,Zapada,18,C,B232
00037CSR,Antocha,2,N,B13
00037CSR,Baetis,18,N,B21
00037CSR,Calineuria,22,N,B27
00037CSR,Cheumatopsyche,56,N,B35
00037CSR,Chironominae,55,N,B37
00037CSR,Dicranota,2,N,B58
00037CSR,Diphetor_hageni,7,N,B59
00037CSR,Epeorus,9,N,B77
00037CSR,Fluminicola,96,N,B86
00037CSR,Glossosoma,12,N,B89
00037CSR,Hydropsyche,7,N,B114
00037CSR,Hydroptila,4,N,B115
00037CSR,Juga,43,N,B119
00037CSR,Micrasema,1,N,B140
00037CSR,Nematoda,1,N,B146
00037CSR,Oligochaeta,19,N,B156
00037CSR,Optioservus,17,N,B159
00037CSR,Orthocladiinae,136,N,B162
00037CSR,Prostoma,2,N,B185
00037CSR,Protoptila,8,N,B186
00037CSR,Pteronarcys,1,N,B193
00037CSR,Rhyacophila,8,N,B199
00037CSR,Simulium,1,N,B204
00037CSR,Sweltsa,4,N,B214
00037CSR,Tanypodinae,1,N,B217
00037CSR,Trombidiformes,4,N,B223
00037CSR,Turbellaria,1,N,B225
00037CSR,Wormaldia,61,N,B229
00037CSR,Zaitzevia,39,N,B231
00037CSR,Zapada,8,N,B232
00037GRD,Brachycentrus,1,NT,B24
00037GRD,Calineuria,9,NT,B27
00037GRD,Cheumatopsyche,3,NT,B35
00037GRD,Chironominae,38,NT,B37
00037GRD,Diphetor_hageni,1,NT,B59
00037GRD,Epeorus,9,NT,B77
00037GRD,Ephemerella,22,NT,B78
00037GRD,Gomphidae,11,NT,B92
00037GRD,Helicopsychidae,46,NT,B98
00037GRD,Hexatoma,4,NT,B106
00037GRD,Hydropsyche,5,NT,B114
00037GRD,Hydroptila,3,NT,B115
00037GRD,Lepidostoma,193,NT,B125
00037GRD,Leptophlebiidae,23,NT,B127
00037GRD,Oligochaeta,5,NT,B156
00037GRD,Optioservus,61,NT,B159
00037GRD,Orthocladiinae,6,NT,B162
00037GRD,Physidae,11,NT,B172
00037GRD,Planorbidae,8,NT,B174
00037GRD,Psephenus,35,NT,B187
00037GRD,Rhithrogena,43,NT,B197
00037GRD,Skwala,12,NT,B205
00037GRD,Sphaeriidae,1,NT,B209
00037GRD,Sweltsa,3,NT,B214
00037GRD,Tanypodinae,1,NT,B217
00037GRD,Tricorythodes,37,NT,B222
00037GRD,Trombidiformes,3,NT,B223
00037GRD,Turbellaria,1,NT,B225
00037GRD,Zaitzevia,41,NT,B231
00038CSR,Agapetus,1,C,B3
00038CSR,Ameletus,9,C,B6
00038CSR,Apatania,4,C,B14
00038CSR,Baetis,32,C,B21
00038CSR,Calineuria,5,C,B27
00038CSR,Ceratopogoninae,5,C,B33
00038CSR,Chelifera,3,C,B34
00038CSR,Chironominae,90,C,B37
00038CSR,Cinygmula,14,C,B40
00038CSR,Cordulegaster,2,C,B45
00038CSR,Despaxia,1,C,B54
00038CSR,Dicranota,2,C,B58
00038CSR,Dixa,1,C,B61
00038CSR,Drunella_spinifera,9,C,B70
00038CSR,Eubrianax,66,C,B81
00038CSR,Glossosoma,18,C,B89
00038CSR,Heterlimnius,62,C,B104
00038CSR,Hexatoma,3,C,B106
00038CSR,Hydropsyche,58,C,B114
00038CSR,Ironodes,14,C,B116
00038CSR,Lara,1,C,B124
00038CSR,Leptophlebiidae,8,C,B127
00038CSR,Malenka,34,C,B134
00038CSR,Nematoda,1,C,B146
00038CSR,Odontoceridae,8,C,B154
00038CSR,Oligochaeta,12,C,B156
00038CSR,Orthocladiinae,22,C,B162
00038CSR,Parapsyche,4,C,B166
00038CSR,Pteronarcys,1,C,B193
00038CSR,Rhyacophila,28,C,B199
00038CSR,Simulium,3,C,B204
00038CSR,Sweltsa,42,C,B214
00038CSR,Tanypodinae,6,C,B217
00038CSR,Thaumaleidae,1,C,B218
00038CSR,Trombidiformes,1,C,B223
00038CSR,Yoraperla,2,C,B230
00038CSR,Zapada,18,C,B232
00039CSR,Ameletus,2,NT,B6
00039CSR,Apatania,16,NT,B14
00039CSR,Attenella,6,NT,B20
00039CSR,Baetis,33,NT,B21
00039CSR,Calineuria,7,NT,B27
00039CSR,Chelifera,4,NT,B34
00039CSR,Chironominae,104,NT,B37
00039CSR,Cinygmula,34,NT,B40
00039CSR,Despaxia,1,NT,B54
00039CSR,Dixella,1,NT,B62
00039CSR,Drunella_coloradensis/flavilinea,2,NT,B66
00039CSR,Drunella_doddsi,93,NT,B67
00039CSR,Dytiscidae,2,NT,B72
00039CSR,Ecclisomyia,38,NT,B74
00039CSR,Glossosoma,31,NT,B89
00039CSR,Glutops,1,NT,B90
00039CSR,Gumaga,2,NT,B94
00039CSR,Heterlimnius,20,NT,B104
00039CSR,Hexatoma,5,NT,B106
00039CSR,Leptophlebiidae,2,NT,B127
00039CSR,Micrasema,1,NT,B140
00039CSR,Moselia,1,NT,B143
00039CSR,Narpus,1,NT,B145
00039CSR,Nematoda,2,NT,B146
00039CSR,Neophylax,1,NT,B149
00039CSR,Oligochaeta,24,NT,B156
00039CSR,Onocosmoecus,1,NT,B158
00039CSR,Orthocladiinae,9,NT,B162
00039CSR,Rhabdomastix,1,NT,B196
00039CSR,Rhithrogena,7,NT,B197
00039CSR,Rhyacophila,29,NT,B199
00039CSR,Serratella,4,NT,B200
00039CSR,Simulium,3,NT,B204
00039CSR,Sphaeriidae,2,NT,B209
00039CSR,Sweltsa,4,NT,B214
00039CSR,Tanypodinae,7,NT,B217
00039CSR,Trombidiformes,2,NT,B223
00039CSR,Turbellaria,13,NT,B225
00039CSR,Yoraperla,1,NT,B230
00039CSR,Zapada,31,NT,B232
00040CSR,Ameletus,3,N,B6
00040CSR,Antocha,1,N,B13
00040CSR,Apatania,1,N,B14
00040CSR,Arctopsyche,20,N,B15
00040CSR,Baetis,103,N,B21
